"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 17:39:30 BRT 2023","Fri Feb 10 17:40:07 BRT 2023","36931","","Acessar painel admin","","Acessar painel admin","Deve fazer login com sucesso","Deve fazer login com sucesso",""
"passed","Fri Feb 10 18:43:52 BRT 2023","Fri Feb 10 18:44:29 BRT 2023","37172","","Acessar painel admin","","Acessar painel admin","Deve fazer login com sucesso","Deve fazer login com sucesso",""
